ID,eigen
4,0
5,1.53915932594574e-05
8,0
10,0.00101643718400252
12,0.0816515622182917
13,0
14,0
15,0.000372034566546438
18,0
19,0.000567697626755968
20,0
23,3.79168596649599e-08
24,0.000159469701835576
28,4.67511678260416e-05
38,3.53767872980811e-05
42,0
44,0
50,2.62883692570146e-09
53,1.52755600910925e-05
54,0.00168838269622496
56,0
58,0
61,0.342858806089365
62,0.0091472350390337
67,0
68,0
71,0
73,0.000632843577340784
74,0
77,0
78,0
79,0
81,0
83,0
84,0
86,0
87,0
88,6.11744134678707e-07
89,0
90,0
97,0
102,4.7014923528697e-05
103,0
105,6.35786699929905e-07
108,0
114,0
115,0
117,0
122,0
124,6.90888812407629e-09
125,0
126,0
128,0.0191668463358626
130,0.0121121335670625
132,0
133,3.54044868999417e-06
134,0
136,1.33932611443232e-05
138,0
140,0
141,0.0150555017163809
142,0.00539369291536188
143,0
144,0
145,0
147,0
148,0.00211752985764483
150,0.000196088133696589
152,0
162,0
163,3.93695290991854e-05
164,0
166,8.77595086820096e-05
167,0.0389701152538347
168,0
170,0
174,0.0468199382578305
175,0.000168683810890665
177,0.000793958533382072
180,0
181,0.000489235504663211
184,0
185,0.0381214001544544
186,0.00077891452858153
187,0
188,0.0134052360185427
190,0.000931854556790519
192,0.0283852098172884
199,0.0173572656259529
200,0.0006660536044393
205,0
210,0
214,0
216,0
221,0
223,0
225,0.000240442070930558
227,0
228,0
231,0
232,0
233,0.0104191760345654
236,0.00915694155348952
237,0
239,3.7395634677993e-05
240,0
244,0
245,0.0213942085460793
246,0
247,0
248,0
252,0
254,0
256,0.028531489907394
257,0.252353344762103
258,0
259,1.68928728423486e-07
260,0
261,0
263,0
264,0
265,8.56973180968824e-05
266,0
268,0.0113501628617188
271,0.00321722207282642
274,0
275,0
277,0
278,0
279,7.88643797431453e-05
281,0
282,0.172988832569791
283,4.95417325622528e-05
285,2.68700698125156e-05
286,0
287,8.63754104208704e-05
288,0
291,3.06678719726188e-06
294,0
297,0
299,1.13369067277576e-05
300,0.000400640881486648
301,0.0043548681909793
302,0.00678456847012019
308,0.0122660298898236
310,0
311,0.00955439565433067
